


Lender Transaction-Level Detail Report -- Institution
Reporting Period	September 2022

Institution	Sample Data
Symbol	XXX

Institution Name	Institution Symbol	Institution State	Library Type	Requests Received	Requests From WorldCat	Requests Canceled	Requests Filled	Requests Filled (Loan)	Requests Filled (Copy)	Requests Unfilled	Electronic Link	Average Turnaround Time For Filled Requests (dd:hh:mm)	Average Turnaround Time For Loan Filled Requests (dd:hh:mm)	Average Turnaround Time For Copy Filled Requests (dd:hh:mm)

Totals Year-To-Date				18000	17216	81	7072	7015	57	11120	40	0:22:05	0:22:05	0:18:58
Totals				2160	2071	6	833	827	6	1323	8	0:19:55	0:19:55	0:19:55
A.T. STILL MEM LIBR	KOS	MO	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ABILENE PUB LIBR	TXB	TX	Public	4	0	0	2	2	0	2	0	0:00:00	0:00:00	0:00:00
ADAMS MEM LIBR	PAAML	PA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AKRON-SUMMIT CNTY PUB LIBR	APL	OH	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ALAMANCE CNTY PUB LIBRS	KZZ	NC	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ALASKA 1-800	ALASK	AK	State or Municipal Governments	7	7	0	2	2	0	5	0	0:00:00	0:00:00	0:00:00
ALBUQUERQUE BERNALILLO CNTY LIBR	QUE	NM	Public	2	2	0	1	1	0	1	0	0:00:00	0:00:00	0:00:00
ALGONQUIN AREA PUB LIBR DIST	GK5	IL	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ALLEN CNTY PUB LIBR	IMF	IN	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
ALLEN PUB LIBR	TOP	TX	Public	1	0	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ALOHA COM LIBR	ALOHA	OR	Public	2	2	0	1	1	0	1	0	4:00:00	4:00:00	0:00:00
AMES PUB LIBR	UIB	IA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ANACORTES PUB LIBR	XFG	WA	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
ANCHORAGE PUB LIBR	XYZ	AK	Public	1	1	1	0	0	0	0	0	0:00:00	0:00:00	0:00:00
ANDERSON CNTY LIBR	SAL	SC	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ANGELO STATE UNIV	ANG	TX	Academic	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
ANN ARBOR DIST LIBR	EYH	MI	Public	1	1	0	1	1	0	0	0	1:00:00	1:00:00	0:00:00
ANNE ARUNDEL CNTY PUB LIBR	A2A	MD	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
ARAPAHOE LIBR DIST	CO2	CO	Public	2	2	0	2	2	0	0	0	0:12:00	0:12:00	0:00:00
ARKANSAS STATE LIBR	AST	AR	State Library	1	1	0	1	1	0	0	0	0:00:00	0:00:00	0:00:00
ARLINGTON HEIGHTS MEM LIBR	JBL	IL	Public	4	4	0	0	0	0	4	0	0:00:00	0:00:00	0:00:00
ARLINGTON PUB LIBR	VIA	VA	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ASHE CNTY PUB LIBR	AC4	NC	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
ASOTIN CNTY LIBR	XYT	WA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
ASTORIA PUB LIBR	OOO	OR	Public	2	2	0	1	1	0	1	0	1:00:00	1:00:00	0:00:00
ATLANTA-FULTON PUB LIBR	GAP	GA	Public	2	2	0	0	0	0	2	0	0:00:00	0:00:00	0:00:00
AUBURN UNIV	AAA	AL	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
AURORA PUB LIBR	JSE	IL	Public	4	4	0	1	1	0	3	0	0:00:00	0:00:00	0:00:00
AZUSA PACIFIC UNIV	CAP	CA	Academic	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
BANGOR PUB LIBR	BYN	ME	Public	2	2	0	2	2	0	0	0	0:00:00	0:00:00	0:00:00
BANKS PUB LIBR	OQV	OR	Public	1	1	0	0	0	0	1	0	0:00:00	0:00:00	0:00:00
